"TIPO_EVENTO","DEPARTAMENTO","CODIGO_DANE_DEPARTAMENTO","MUNICIPIO","CODIGO_DANE_MUNICIPIO","AÑO","MES","EVENTO","TIPO_LUGAR","TIPO_AREA","LATITUD_CABECERA","LONGITUD_CABECERA","SITIO","UBICACION"
"Desminado militar en operaciones","NORTE DE SANTANDER","54","TEORAMA","54,800","2,015","8","Incidente","Sin informacion","Rural","8.5961111111","-73.21555556","Vereda Vega Larga","POINT (-73.21555556 8.5961111111)"
"Desminado militar en operaciones","VICHADA","99","CUMARIBO","99,773","2,015","8","Incidente","Sin informacion","Rural","4.0661111111","-70.23888889","Inspeccion De Chupave","POINT (-70.23888889 4.0661111111)"
"Desminado militar en operaciones","ANTIOQUIA","5","ANORÍ","5,040","2,015","8","Incidente","Sin informacion","Rural","7.2927777778","-75.06416667","Sector Toma De Aljibes","POINT (-75.06416667 7.2927777778)"
"Desminado militar en operaciones","META","50","MESETAS","50,330","2,015","8","Incidente","Sin informacion","Rural","2.9463888889","-74.10083333","Vereda Santa Helena","POINT (-74.10083333 2.9463888889)"
"Desminado militar en operaciones","META","50","LA MACARENA","50,350","2,015","8","Incidente","Sin informacion","Rural","1.9775","-74.15444444","Vereda El Recreo","POINT (-74.15444444 1.9775)"
"Desminado militar en operaciones","META","50","URIBE","50,370","2,015","7","Incidente","Sin informacion","Rural","3.0419444444","-74.315","Vereda El Progreso","POINT (-74.315 3.0419444444)"
"Desminado militar en operaciones","NORTE DE SANTANDER","54","EL CARMEN","54,245","2,015","7","Incidente","Sin informacion","Rural","8.6119444444","-73.37611111","Vereda Santa Helena","POINT (-73.37611111 8.6119444444)"
"Desminado militar en operaciones","CAUCA","19","CORINTO","19,212","2,015","7","Incidente","Sin informacion","Rural","3.1113888889","-76.25916667","Vereda Guacas","POINT (-76.25916667 3.1113888889)"
"Desminado militar en operaciones","PUTUMAYO","86","PUERTO ASÍS","86,568","2,015","7","Incidente","Sin informacion","Rural","0.48","-76.28472222","Vereda La Alea","POINT (-76.28472222 0.48)"
"Desminado militar en operaciones","ANTIOQUIA","5","CAMPAMENTO","5,134","2,015","7","Incidente","Sin informacion","Rural","6.9772222222","-75.27472222","Manzanillo","POINT (-75.27472222 6.9772222222)"
"Desminado militar en operaciones","NORTE DE SANTANDER","54","CONVENCIÓN","54,206","2,015","7","Incidente","Sin informacion","Rural","8.5958333333","-73.3275","Vereda Carrizal","POINT (-73.3275 8.5958333333)"
"Desminado militar en operaciones","CAUCA","19","TIMBÍO","19,807","2,015","7","Incidente","Sin informacion","Rural","2.305","-76.7075","El Encenillo","POINT (-76.7075 2.305)"
"Desminado militar en operaciones","ARAUCA","81","ARAUQUITA","81,065","2,015","7","Incidente","Sin informacion","Rural","6.6786111111","-71.34027778","Puerto Jordan","POINT (-71.34027778 6.6786111111)"
"Desminado militar en operaciones","META","50","PUERTO RICO","50,590","2,015","5","Incidente","Sin informacion","Rural","2.6652777778","-73.16111111","Fundacion","POINT (-73.16111111 2.6652777778)"
"Sospecha de campo minado","SANTANDER","68","EL CARMEN","68,235","2,013","8","Incidente","Escuelas","Rural","6.78684","-73.57337","Sospecha De Campo Minado","POINT (-73.57337 6.78684)"
"Desminado militar en operaciones","VALLE DEL CAUCA","76","BUENAVENTURA","76,109","2,015","3","Incidente","Quebradas","Rural","4.05502222222","-77.017230556","Área General Bajo Calima Sector Quebrada Ordoñez","POINT (-77.017230556 4.05502222222)"
"Desminado militar en operaciones","CAQUETA","18","SOLANO","18,756","2,015","3","Incidente","Sin informacion","Rural","0.9922222222","-75.00527778","Vereda Puerto Tejada","POINT (-75.00527778 0.9922222222)"
"Desminado militar en operaciones","META","50","MESETAS","50,330","2,015","4","Incidente","Sin informacion","Rural","3.3455555556","-74.04","Vereda La Libertad","POINT (-74.04 3.3455555556)"
